RT MENTIONHERE As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out, 0
RT MENTIONHERE boy dats coldtyga dwn bad for cuffin dat hoe in the st place, 0
RT MENTIONHERE Dawg RT MENTIONHERE You ever fuck a bitch and she start to cry You be confused as shit, 0
RT MENTIONHERE MENTIONHERE she look like a tranny, 0
RT MENTIONHERE The shit you hear about me might be true or it might be faker than the bitch who told it to ya, 0
MENTIONHERE The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes, 1
MENTIONHERE I can not just sit up and HATE on another bitch  I got too much shit going on, 0
MENTIONHERE cause Im tired of you big bitches coming for us skinny girls, 0
amp you might not get ya bitch back amp thats that, 0
MENTIONHERE hobbies include fighting Mariam, 1
Keeks is a bitch she curves everyone  lol I walked into a conversation like this Smh, 0
Murda Gang bitch its Gang Land, 0
So hoes that smoke are losers   yea  go on IG, 0
bad bitches is the only thing that i like, 0
bitch get up off me, 1
bitch nigga miss me with it, 0
bitch plz whatever, 0
bitch who do you love, 1
bitches get cut off everyday B, 0
black bottle amp a bad bitch, 0
broke bitch cant tell me nothing, 0
cancel that bitch like Nino, 0
cant you see these hoes wont change, 0
fuck no that bitch dont even suck dick   the Kermit videos bout to fuck IG up, 0
got ya bitch tip toeing on my hardwood floors   URLHERE, 0
her pussy lips like Heaven doors, 0
hoe what its hitting for, 0
i met that pussy on Ocean Dr  i gave that pussy a pill, 0
i need a trippy bitch who fuck on Hennessy, 0
i spend my money how i want bitch its my business, 0
i txt my old bitch my new bitch pussy wetter, 0
id say im back to the old me but my old bitches would get excited, 0
if you aint bout that Murder Game pussy nigga shut up, 0
if youre toes aint done you pussy stinks, 0
im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that, 0
is that ya bitch, 0
it aint nothing to cut a bitch off, 0
jus meet son now he ya mane ass bitches  Shots, 0
lames crying over hoes thats tears of a clown, 0
like Snoop said in  we dont love these hoes, 0
momma said no pussy cats inside my doghouse, 0
most hated but the hoes favorite  MW SevenOne  URLHERE, 0
nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick URLHERE, 0
pimps up pimps up hoes down  Future voice, 0
post a picture of that pussy get  likes, 0
pussy is a powerful drug   HappyHumpDay URLHERE, 0
quick piece of pussy call it a drive by, 0
